,id,correct_answer,question,answer0,answer1,answer2
87,1018525730198753281,1,What player scored the most goals in one World Cup?,Pelé,Just Fontaine,Miroslav Klose
88,1018525556164517888,2,The word “soccer” originated in which country?,Germany,United States,England
90,1018301971449688065,2,The president whose campaign slogan was “Not Just Peanuts” defeated which candidate?,Barry Goldwater,Ronald Reagan,Gerald Ford
91,1018301771142385664,0,Which of these capital cities is in South America?,Georgetown,Sofia,Vaduz
92,1018301536332582912,1,"On the periodic table, which of these elements is farthest to the right?",Lithium,Helium,Nitrogen
93,1018301300474372096,2,The infamous disaster known as New Coke was later sold under what name?,Coke Jr.,UnCoke,Coke II
94,1018301130290421761,1,The Max is to “Saved by the Bell” as the Peach Pit is to what?,Buffy the Vampire Slayer,"Beverly Hills, 90210",California Dreams
95,1018300927755812865,2,"In English, the city formerly known as Bombay is now called what?",Bangalore,Jaipur,Mumbai
96,1018300739565780994,1,Which of these types of spirits literally means “noisy ghost”?,Banshee,Poltergeist,Specter
97,1018300547013767168,0,Which of these is a common hairstyle?,Messy pony,Grubby zebra,Dusty goat
98,1018300398812192770,0,What usually happens to water at 32 degrees Fahrenheit?,Freezes,Becomes sentient,Boils
99,1018300243044130816,2,"According to the saying, “An ounce of prevention is worth a pound of” what?",Feathers,Salt water taffy,Cure
100,1018300110357360645,2,"The Atlantic, Pacific, Indian, and Arctic are all what?",Seasons,Non Blondes,Oceans
101,1017985195155259392,0,"By number of copies sold, the best-selling novelist alive writes mainly in what genre?",Romance,Legal thriller,Fantasy
102,1017984967421329408,2,In which of these Bond movies does the main villain have his eye covered up?,You Only Live Twice,For Your Eyes Only,Thunderball
103,1017984824357859328,0,Which of these is NOT an official beverage of a US state?,Pineapple juice,Tomato juice,Cranberry juice
104,1017984618664996864,2,Which mobile game is NOT from a Finnish company?,Clash of Clans,Angry Birds,Minecraft
105,1017984431062245376,1,The first European known to reach the Pacific Ocean gave it what name?,Queen Sea,South Sea,Pacific Ocean
106,1017984235125211137,2,Which of these animals is a ruminant?,Panda,Warthog,Ibex
107,1017984075154558976,0,LeBron James’s current NBA jersey number is the same as whose?,Michael Jordan,Bill Russell,Larry Bird
108,1017983798145900544,0,"If you are watching a lunar eclipse from Earth, what is blocking your view of the Sun?",Earth,Moon’s shadow,Moon
109,1017983620831694850,1,Michelangelo’s sculpture “David” is holding what object on his shoulder?,Robe,Sling,Sack
110,1017983451000078337,0,Who is credited with inventing the first practical airplane?,Wilbur &amp; Orville Wright,Alexander Graham Bell,Thomas Edison
111,1017983317809954816,1,What was tattooed above Tupac Shakur’s navel?,Smug Life,Thug life,Pixar’s A Bug’s Life
112,1017983163505741824,0,Who was the main villain in the “Friday the 13th” horror films?,Jason Voorhees,Jason Waterfalls,Jason Derulo
113,1017955096871784448,1,In which venue can you find wood from the original Minneapolis Lakers home court?,Staples Center,Target Field,Target Center
114,1017954834857807872,0,"After agreeing to a transfer, where will Cristiano Ronaldo play home games next season?",Turin,Rome,Milan
115,1017954662224408576,0,"At the end of “The Play” from Cal-Stanford ‘82, Kevin Moen runs over a student who is holding what instrument?",Trombone,Tuba,Drum
116,1017954450432983040,2,Which of these teams won a championship before the Super Bowl was created?,Minnesota Vikings,Dallas Cowboys,Los Angeles Rams
117,1017954295499640833,0,Which of these does NOT stand at a height of 120 inches?,FIFA goal crossbar,NBA basketball hoop,NFL field goal crossbar
118,1017954086547873792,2,What NBA franchise has won the greatest percentage of regular-season games in its history?,Thunder,Celtics,Spurs
119,1017953882616590336,1,What fighter has the record for most consecutive wins in the UFC?,Conor McGregor,Anderson Silva,Jon Jones
120,1017953660276477952,2,The last player to win NBA MVP from the Eastern Conference came from what team?,Cleveland Cavaliers,Chicago Bulls,Miami Heat
121,1017953478113624064,0,What flag is used to signal to NASCAR drivers that there is one lap left in the race?,White,Green,Checkered
122,1017953298815602688,0,Which of these MLB players currently has the most home runs this season?,JD Martinez,Aaron Judge,Mike Trout
123,1017939992906207232,2,The Macintosh alert sound “Sosumi” was named to taunt whose legal representatives?,CBS,Microsoft,The Beatles
124,1017939682238324742,0,Who was the first American woman be named “Time” magazine’s Person of the Year?,Wallis Simpson,Amelia Earhart,Jacqueline Kennedy
125,1017939517821607936,1,Which of these is NOT a name of a woman in the Bible?,Candace,Helen,Lois
126,1017939284995780608,0,Which of these sporting events occurs earliest in the calendar year?,Daytona 500,Kentucky Derby,Indy 500
127,1017939095341993989,1,An improbably tall sandwich is named for a character in what comic strip?,Hagar the Horrible,Blondie,Gasoline Alley
128,1017938917876797441,2,What was the original 1981 edition of Trivial Pursuit called?,Competitive Edition,Mindful Edition,Genus Edition
129,1017938745503506432,2,The adjective “lilliputian” comes from the works of what author?,Voltaire,Lewis Carroll,Jonathan Swift
130,1017938593984188416,0,Cologne is the fourth-largest city in what nation?,Germany,France,Belgium
131,1017938435871526912,1,Which of these movie series has produced the most full-length theatrical features?,The Godfather,The Muppets,Back to the Future
132,1017938268724301831,1,What is measured by the pH scale?,Moisture,Acidity,Salinity
133,1017938132862492672,2,Which of these instruments typically produces the lowest notes?,Ukulele,Triangle,Cello
134,1017937978772029440,2,What are trees primarily made of?,Granite,Clay,Wood
135,1017622269714104320,0,Which of these animals has been elected to office in the US?,Mule,Groundhog,Pig
136,1017622045058838530,2,"In 2006, a former USS Enterprise captain sold which of these items on eBay for $25,000?",Toupee,Star Trek phaser,Kidney stone
137,1017621908798533634,2,"By area, which of these countries is the largest?",Egypt,Sudan,Algeria
138,1017621770239709184,2,Which of these mammals lays eggs?,Tube-nosed bat,Four-toed hedgehog,Spiny anteater
140,1017621474360938496,1,Which of these is another name for the hashtag sign?,Percontation,Octothorpe,Ampersand
141,1017621309826785281,0,What single was the first by a former Beatle to top the US charts?,My Sweet Lord,Band on the Run,Imagine
142,1017621159024758786,2,Which character in the US version of “The Office” is the equivalent to the British show’s Gareth?,Creed,Jim,Dwight
143,1017620999058096133,2,Which of these places is farthest north?,South Africa,South Carolina,South Dakota
144,1017620868262973440,1,"What superhero is associated with the phrase, “With great power comes great responsibility”?",Batman,Spider-Man,Iron Man
145,1017620686876086273,1,"According to the RYB color model, which of these is traditionally a secondary color?",Red,Purple,Blue
146,1017620564461211648,2,What is a female deer called?,Mi,Re,Doe
147,1017578157262721025,0,Which of these programs launched under a name for a kids’ game?,Snapchat,Bitmoji,Twitch
148,1017577795998879749,2,Which of these is NOT one of the top 10 most-downloaded iOS apps of all time?,YouTube,WeChat,Gmail
150,1017577497221885959,2,Which of these tech figures has founded the most companies?,Jack Dorsey,Jeff Bezos,Elon Musk
151,1017577275334807558,0,"According to Coin Market Cap, which cryptocurrency has lost the least value by percentage in 2018?",Litecoin,Ripple,Ethereum
152,1017577141171519488,1,Which rapper is the entrepreneur-in-residence at Los Angeles’ largest venture capital firm?,50 Cent,Chamillionaire,Dr. Dre
153,1017576953975660544,1,Apple was accused of stealing tech concepts like the mouse from what company?,Hewlett-Packard,Xerox,IBM
154,1017576796349399043,0,What is the name of Sheryl Sandberg’s best-selling book?,Lean In,Dream Big,Thinking Different
155,1017576652090507266,1,The Vine app limited videos to what length?,24 hours,Six seconds,10 minutes
156,1017576500990828544,0,Which of these is the name of a Facebook feature?,Poke,Tap,Ping
157,1017576337425526784,0,"After starting as an online bookstore, what tech giant opened physical bookstores?",Amazon,Facebook,Google
158,1017260376889741312,0,Which of these chefs does NOT have a namesake restaurant?,Nigella Lawson,Cat Cora,Giada de Laurentiis
159,1017260148107169792,0,"In calculus, what term represents the inverse of differentiation?",Integration,Substantiation,Translation
160,1017259899494064130,0,Older lyrics to the song now known as “The Battle Hymn of the Republic” were about what person?,Abolitionist,President,Greek hero
161,1017259703661940736,0,Which character on “The Simpsons” is NOT voiced by the same person as the other two?,Chief Wiggum,Ned Flanders,Kent Brockman
162,1017259549374533637,2,"Which term can be used to describe San Marino, Vatican City, and Lesotho?",Theocracies,Principalities,Enclaves
163,1017259381388468224,0,Brutalist architecture primarily uses what building material?,Concrete,Steel,Glass
164,1017259157206990848,1,Which is the title of both a Metallica album and a film starring Al Pacino?,The Devil’s Advocate,...And Justice for All,Reload
165,1017258963996463104,1,What is the correct English spelling for the layer of Earth below the crust?,Mantel,Mantle,Mantal
166,1017258797285412864,2,Which food is NOT traditionally made primarily of chickpeas?,Falafel,Hummus,Tahini
167,1017258637721571329,2,What are the grounds of a school usually known as?,Campground,Campari,Campus
168,1017258474844147712,0,"In economics, what does “GDP” stand for?",Gross domestic product,Giant duck projection,Goofy drainage pipes
169,1017258331906461697,0,What is peanut butter most commonly sold in?,Jars,Thimbles,Mugs
171,1017215724388077568,1,Which of these cities extends the farthest south?,Glasgow,Krakow,Moscow
172,1017215559329632258,0,Who is an unlikely villain in one of Shakespeare’s plays?,Joan of Arc,Robin Hood,Merlin
173,1017215428488302593,1,Which of these obscure sports is played with a bat?,Hooverball,Corkball,Wallyball
175,1017215134471806976,0,"In addition to the mammal, “armadillo” can also refer to a type of what?",Lizard,Bird,Crustacean
177,1017214732137361410,0,Which of these “big” movies was nominated for the most Academy Awards?,The Big Chill,Big,The Big Lebowski
178,1017214516151668741,0,Which of these websites is NOT best described as a social network?,Bing,Twitter,Facebook
179,1017214340976578560,2,People with gluten allergies should specifically avoid consuming what?,Shellfish,Milk,Wheat
180,1017214209770381312,2,Which of these animal body parts is also a name for old TV antennas?,Kitten noses,Turtle tails,Rabbit ears
181,1017213991872028672,2,What is the name of the sport where you use special footwear to walk on snow?,Ice-sashaying,Frost-skipping,Snowshoeing
182,1017124223863664640,0,The name of Cardi B’s newborn is mostly likely a nod to what?,Album name,Snack food,Designer brand
183,1017123972645875712,0,Which of these Drake songs is currently highest on the Billboard Hot 100?,Nonstop,I’m Upset,God’s Plan
185,1017123571049684993,0,"In his first viral yodeling video, what was Mason Ramsey wearing?",Bow tie,Cowboy hat,Bolo tie
186,1017123367529435143,0,The star of which TV show hosted the 2018 season finale of “Saturday Night Live”?,30 Rock,Brooklyn Nine-Nine,The Tonight Show
187,1017123217041973248,1,Who is the father of the woman Justin Bieber just proposed to?,Alec Baldwin,Stephen Baldwin,Daniel Baldwin
188,1017123069448675328,2,"In May, the internet was divided on whether an audio recording was saying “Yanny” or what name?",Larry,Laurenzo,Laurel
189,1017122910346121218,0,"According to “Forbes,” who is poised to become “the youngest self-made billionaire ever”?",Kylie Jenner,Lenny Dykstra,Larry King
191,1016897862079262720,2,Which musical was the last that Rodgers and Hammerstein collaborated on?,The King and I,Oklahoma!,The Sound of Music
192,1016897717069647872,2,What is the fan-fiction term for a character who is a glorified stand-in for the author?,Eddie James,Anna Todd,Mary Sue
193,1016897515034152961,1,Which of these is NOT a species of penguin?,Chinstrap,Necktie,Macaroni
194,1016897318908563456,1,Water buffalo are a key part of creating what dairy product?,Feta cheese,Traditional mozzarella,Dutch Edam cheese
195,1016897032001327104,1,In the famous line “Wherefore art thou Romeo?” what does its first word mean?,Who,Why,Where
197,1016896278100348928,0,What film is the quote “I’m Batman” from?,Batman,Taxi Driver,Casablanca
198,1016896112198934529,1,What is a wooden structure that extends onto a body of water often called?,Rock,Dock,Frock
199,1016895949413773312,1,Which of these is a common pizza topping?,Peanuts,Pepperoni,Paper clips
201,1016869855339974656,1,What nation has the most combined men’s and women’s Olympic gold medals in beach volleyball?,Australia,USA,Brazil
203,1016869456042188800,1,Which boxer headlined the sport’s first seven-digit gate?,Sugar Ray Robinson,Jack Dempsey,George Foreman
206,1016868867707166721,0,Which of the four majors in golf is the youngest?,The Masters,The PGA Championship,US Open
207,1016868704934559744,1,Which of these cities is NOT home to NBA Summer League games this year?,Sacramento,Los Angeles,Salt Lake City
209,1016868356169793536,0,"According to official MLB rules, which one of these must be “set in the ground”?",Home plate,Third base,First base
210,1016868115618123776,0,Which of these is a common swimming stroke?,Backstroke,Headwobble,Kneeheave
211,1016867934747099142,1,"Coined by Hall of Fame pitcher Lefty Gomez, what does the phrase “gopher ball” mean?",Beach ball,Home run,Hot air balloon
212,1016853139939581953,2,Which of these famous film roles was played by the movie’s director?,The Man With No Name,Hedley Lamar,Corky St. Clair
213,1016852870585552896,0,The Nintendo character who rules Sarasaland made her video game debut on what platform?,Game Boy,NES,Super NES
214,1016852695574024192,1,What element comprises more human body mass than any other?,Hydrogen,Oxygen,Carbon
215,1016852563113775104,1,Who filled David Letterman’s time slot immediately following his NBC departure?,James Corden,Conan O’Brien,Stephen Colbert
216,1016852373896130560,2,Which nation does NOT border Moldova?,Romania,Ukraine,Serbia
217,1016852161878200321,2,Which of these people was president of the United States most recently?,Rutherford B. Hayes,Chester A. Arthur,Benjamin Harrison
218,1016851986707369985,0,"In Major League Baseball, what is named for the only player with more than 500 career wins?",Award,Rule,Stadium
219,1016851801168113664,2,Which hit song was originally recorded by a band whose name is a palindrome?,Back in Black,Blame It on the Rain,Dancing Queen
220,1016851608422973445,1,What is the main ingredient in polenta?,Chicken,Corn,Sugar
221,1016851280541700097,0,What type of doctor works primarily with infants and children?,Pediatric,Geriatric,Orthopedic
222,1016851156415451136,0,What item of clothing often has pockets?,Pants,Fedora,Socks
223,1016851012328534016,2,Which of these is an eating utensil that originated in Asia?,Fiber optics,Drop kicks,Chopsticks
224,1016535802967416832,0,Which of these was NOT part of the first meal eaten on the moon?,Ice cream,Bacon,Peaches
225,1016535471311216640,2,Which of these creatures has the fewest hearts?,Octopus,Hagfish,Hummingbird
227,1016535159489880064,0,"In US customary units, a cask holding 63 gallons of wine is called what?",Hogshead,Sheepsgut,Bullskin
228,1016534980640563201,2,"Which of these films had the tagline, “Earth. It was fun while it lasted”?",Deep Impact,This Is the End,Armageddon
229,1016534777829130240,2,Which of these was around in the 20th century?,Roomba,iPod,Google
230,1016534586271191040,1,"By definition, if somebody is experiencing diaphoresis, what are they doing?",Sleeping,Sweating,Shivering
231,1016534404687192064,0,What mountain range is generally considered the border between European Russia and Asian Russia?,Urals,Himalayas,Pyrenees
232,1016534189376753664,1,Which of these does the original Monopoly board have the most of?,Chance spaces,Railroads,Utilities
233,1016533972703203328,0,Which of these is NOT the name of a hugely successful band?,Seattle,Boston,Chicago
234,1016533773184315392,2,Which of these items is commonly found in a beefsteak variety?,Cheesecake,Male model,Tomato
235,1016533630846369792,2,Which of these adjectives specifically relates to cats?,Canine,Online,Feline
236,1016489112075894785,2,"In internet terminology, what does “WWW” stand for?",Willy Wonka Whirlypops,Well-Wasted Workday,World Wide Web
237,1016129816574283778,2,Which accent has Meryl Streep NEVER performed in a movie?,Danish,Italian,Scottish
238,1016129472792317952,2,Hedy Lamarr was the basis for what iconic animated character’s looks?,Betty Boop,Jessica Rabbit,Snow White
239,1016129286586191874,1,What is the only national capital city that shares its borders with two other countries?,Andorra,Slovakia,Liechtenstein
240,1016129149910601728,1,"In a rack-and-pinion steering system, which part is round?",Rack,Pinion,Neither
241,1016128992787693569,2,"Although pronounced differently, which rapper’s name describes a pattern on corduroy pants?",Iceberg Slimm,Drake,Wale
242,1016128827985195008,1,“Laughter” is an eye rhyme with which of these words?,Lighter,Daughter,After
243,1016128678168875008,0,Which of these planets is known for having a Great Cold Spot?,Jupiter,Neptune,Saturn
244,1016128501735358466,2,Which of these rom-coms was directed by a man?,Sleepless in Seattle,You've Got Mail,When Harry Met Sally
245,1016128361045864448,0,The cast of “The Brady Bunch” included a main character with which of these names?,Peter,Fred,Stu
246,1016128200806666242,2,Which word refers both to a type of sandwich and a type of boat?,Hoagie,Grinder,Submarine
247,1016128054178000898,2,Which of these animals is a mammal?,Alligator,Robin,Kangaroo
248,1016127917422731270,1,Which of these symbols is a quick substitute for the word “and”?,( ͡° �ʖ ͡°),&amp;,¯\_(ツ)_/¯
249,1015765135506460672,1,Which actress won an Oscar for portraying a lookalike of real Hollywood star Veronica Lake?,Penelope Cruz,Kim Basinger,Jane Fonda
250,1015764835697651718,2,Which of these cities contains an active coin-producing mint for US currency?,Dallas,New York City,Denver
251,1015764639379058688,0,Which of these artists did NOT perform at Live Aid?,Stevie Wonder,Elton John,Mick Jagger
252,1015764462383529984,1,"Before being nominated, which Secretary of State was a professor at Georgetown?",Condoleezza Rice,Madeleine Albright,John Kerry
253,1015764314714726400,1,Meringue is NOT typically included in which of these desserts?,Pavlova,English trifle,Dacquoise
254,1015764130026967043,0,What were the first names of Dr. Jekyll and Mr. Hyde in the original story?,Henry / Edward,George / Harry,William / William
255,1015763944118550534,1,What was the most well-known nickname of musician William Basie?,Duke,Count,Bass
256,1015763799675109376,0,What cave feature is known for pointing down?,Stalactite,Stalagmite,Shellac
257,1015763612634435584,1,Which of these terms describes a dance that involves moving one leg in a circle?,Puffy leg,Stanky leg,Sweaty leg
258,1015763450172264453,0,The musical “A Little Night Music” features a famous song called “Send In the” what?,Clowns,Boys,Troops
259,1015763316789129216,0,To what part of a jacket are decorative pins often attached?,Lapel,Cat bell,Dog smell
260,1015763192004431872,0,What name describes a sandwich without any bread on top?,Open-faced,Two-faced,About-faced
261,1015448583896694784,2,Tyler Perry did NOT act in which of these Tyler Perry films?,The Family That Preys,The Single Moms Club,Peeples
263,1015448184624222209,1,Which of these nations has a two-headed bird on its current national flag?,Papua New Guinea,Serbia,Dominica
264,1015447990117568512,1,Above Rockefeller Center’s ice rink in New York is a statue of the Greek god who created what?,The Cosmos,Man,Earth
266,1015447569907011584,0,"By definition, a philistine would likely NOT be interested in which of these things?",The opera,Weather,Napping
267,1015447417012006912,2,What popular game includes a spinner with 16 possible spaces?,Game of Life,Hi Ho! Cherry-O,Twister
268,1015447199877156865,1,The Spanish phrase “mano a mano” literally translates to what?,Man to man,Hand to hand,Face to face
269,1015447066380849152,1,Which science-fiction franchise traveled back in time to save whales?,Star Wars,Star Trek,Back to the Future
270,1015446924491665408,1,What do many children’s shoes have instead of laces?,Chains,Velcro,Deadbolts
272,1015446652994375680,1,Which of these is a two-wheeled vehicle?,Octocycle,Bicycle,Unicycle
273,1015418177248022530,1,Which of these professional basketball teams played in both Eastern and Western division finals?,Packers,Bullets,Capitols
274,1015418165021564929,1,The “Knickerbocker Rules” was an early list of guidelines for what sport?,Boxing,Baseball,Basketball
275,1015417717191405568,1,Who holds the record for most majors won by a men’s golfer born outside the US?,Nick Faldo,Gary Player,Rory McIlroy
276,1015417566209200128,0,Which NHL star is NOT one of two native Russians to win the Conn Smythe Trophy?,Pavel Bure,Evgeni Malkin,Alex Ovechkin
277,1015417380300906499,0,Where was Brett Farve's first NFL team located?,Georgia,Minnesota,Wisconsin
278,1015417223433900032,2,Who is the all-time leading scorer at the Women’s World Cup?,Abby Wambach,Mia Hamm,Marta
280,1015416880482471936,1,"Before Ronda Rousey was an MMA champion, she medaled in what Olympic sport?",Boxing,Judo,Wrestling
282,1015416283435806720,2,What tennis Grand Slam is played on crushed red brick and white limestone?,US Open,Wimbledon,French Open
283,1015416124635217920,0,A 10-story billboard of what athlete has just been taken down in Cleveland?,LeBron James,Michael Jordan,Tiger Woods
